country,percent_under_5m,total_pop,total_under_5m,total_10cm,total_20cm,total_30cm,total_40cm,total_50cm,total_60cm,total_70cm,total_80cm,total_90cm,total_100cm,total_110cm,total_120cm,total_130cm,total_140cm,total_150cm,total_160cm,total_170cm,total_180cm,total_190cm,total_200cm
Aruba,7.069166545,101669.0,7187.15093463605,143.743018692721,287.486037385442,431.22905607816296,574.972074770884,718.7150934636051,862.4581121563259,1006.2011308490469,1149.944149541768,1293.687168234489,1437.4301869272101,1581.1732056199312,1724.9162243126518,1868.6592430053731,2012.4022616980938,2156.145280390815,2299.888299083536,2443.6313177762568,2587.374336468978,2731.117355161699,2874.8603738544202
Angola,1.436094368,23356246.0,335417.73338222527,6708.354667644506,13416.709335289012,20125.064002933515,26833.418670578023,33541.77333822253,40250.12800586703,46958.482673511535,53666.837341156046,60375.19200880054,67083.54667644505,73791.90134408957,80500.25601173406,87208.61067937857,93916.96534702307,100625.32001466758,107333.67468231209,114042.02934995657,120750.38401760109,127458.73868524561,134167.0933528901
Albania,7.070960686,2913021.0,205978.56968492406,4119.571393698481,8239.142787396962,12358.714181095444,16478.285574793925,20597.856968492408,24717.428362190887,28836.999755889366,32956.57114958785,37076.14254328633,41195.713936984816,45315.2853306833,49434.856724381774,53554.42811808026,57673.99951177873,61793.570905477216,65913.1422991757,70032.71369287418,74152.28508657267,78271.85648027115,82391.42787396963
Arab World,7.7200030097872006,354890042.0,27397521.92383506,547950.4384767013,1095900.8769534025,1643851.3154301036,2191801.753906805,2739752.1923835063,3287702.630860207,3835653.0693369084,4383603.50781361,4931553.9462903105,5479504.384767013,6027454.823243714,6575405.261720414,7123355.7001971165,7671306.138673817,8219256.577150518,8767207.01562722,9315157.45410392,9863107.892580621,10411058.331057323,10959008.769534025
United Arab Emirates,14.784636477000001,8549988.0,1264084.644627123,25281.692892542458,50563.385785084916,75845.07867762737,101126.77157016983,126408.46446271229,151690.15735525475,176971.85024779718,202253.54314033967,227535.23603288212,252816.92892542458,278098.6218179671,303380.3147105095,328662.00760305196,353943.70049559436,379225.3933881369,404507.08628067933,429788.77917322173,455070.47206576425,480352.1649583067,505633.85785084916
Argentina,3.028912698,40788453.0,1235446.632234762,24708.93264469524,49417.86528939048,74126.79793408571,98835.73057878096,123544.66322347621,148253.59586817143,172962.52851286664,197671.46115756192,222380.39380225714,247089.32644695241,271798.2590916477,296507.19173634285,321216.1243810381,345925.0570257333,370633.98967042856,395342.92231512384,420051.854959819,444760.7876045143,469469.72024920955,494178.65289390483
American Samoa,3.271014103,56079.0,1834.35199882137,36.6870399764274,73.3740799528548,110.0611199292822,146.7481599057096,183.435199882137,220.1222398585644,256.8092798349918,293.4963198114192,330.1833597878466,366.870399764274,403.55743974070145,440.2444797171288,476.9315196935562,513.6185596699836,550.305599646411,586.9926396228384,623.6796795992657,660.3667195756932,697.0537595521206,733.740799528548
Antigua and Barbuda,11.829548498,88028.0,10413.314951819439,208.26629903638877,416.53259807277755,624.7988971091663,833.0651961455551,1041.3314951819439,1249.5977942183326,1457.8640932547212,1666.1303922911102,1874.396691327499,2082.6629903638877,2290.929289400277,2499.1955884366653,2707.461887473054,2915.7281865094424,3123.9944855458316,3332.2607845822204,3540.5270836186087,3748.793382654998,3957.0596816913867,4165.3259807277755
Australia,4.516620755,22031750.0,995090.5931897124,19901.81186379425,39803.6237275885,59705.43559138274,79607.247455177,99509.05931897124,119410.87118276548,139312.68304655972,159214.494910354,179116.30677414822,199018.11863794248,218919.93050173676,238821.74236553095,258723.55422932524,278625.36609311943,298527.1779569137,318428.989820708,338330.80168450216,358232.61354829645,378134.4254120907,398036.23727588495
Belgium,11.166894347000001,10895586.0,1216698.5771065236,24333.97154213047,48667.94308426094,73001.91462639142,97335.88616852189,121669.85771065236,146003.82925278283,170337.8007949133,194671.77233704377,219005.74387917423,243339.71542130472,267673.6869634352,292007.65850556566,316341.6300476961,340675.6015898266,365009.57313195703,389343.54467408755,413677.51621621795,438011.48775834846,462345.459300479,486679.43084260944
Benin,11.851449459000001,9199259.0,1090245.530987509,21804.910619750182,43609.821239500365,65414.73185925054,87219.64247900073,109024.55309875091,130829.46371850108,152634.37433825125,174439.28495800146,196244.1955777516,218049.10619750182,239854.01681725204,261658.92743700216,283463.83805675234,305268.7486765025,327073.6592962527,348878.5699160029,370683.4805357531,392488.3911555032,414293.30177525344,436098.21239500365
Bangladesh,8.916143359,147575430.0,13158036.901460692,263160.73802921386,526321.4760584277,789482.2140876416,1052642.9521168554,1315803.6901460693,1578964.4281752831,1842125.1662044968,2105285.904233711,2368446.6422629245,2631607.3802921386,2894768.1183213526,3157928.8563505663,3421089.59437978,3684250.3324089935,3947411.0704382076,4210571.808467422,4473732.546496635,4736893.284525849,5000054.0225550635,5263214.760584277
Bulgaria,0.735205043,7395599.0,54372.81680805757,1087.4563361611515,2174.912672322303,3262.3690084834543,4349.825344644606,5437.281680805758,6524.738016966909,7612.194353128059,8699.650689289212,9787.107025450363,10874.563361611516,11962.019697772666,13049.476033933817,14136.932370094968,15224.388706256119,16311.84504241727,17399.301378578424,18486.75771473957,19574.214050900726,20661.670387061877,21749.12672322303
Bahrain,34.281653244,1240860.0,425387.32244349836,8507.746448869968,17015.492897739936,25523.239346609902,34030.98579547987,42538.73224434984,51046.478693219804,59554.22514208977,68061.97159095974,76569.7180398297,85077.46448869968,93585.21093756965,102092.95738643961,110600.70383530957,119108.45028417953,127616.1967330495,136123.9431819195,144631.68963078942,153139.4360796594,161647.18252852937,170154.92897739937
"Bahamas, The",20.284972574,354942.0,71999.88735360709,1439.997747072142,2879.995494144284,4319.993241216425,5759.990988288568,7199.988735360709,8639.98648243285,10079.984229504991,11519.981976577135,12959.979723649276,14399.977470721418,15839.975217793562,17279.9729648657,18719.970711937844,20159.968459009982,21599.966206082125,23039.96395315427,24479.96170022641,25919.959447298552,27359.957194370694,28799.954941442837
Bosnia and Herzegovina,0.111713853,3705472.0,4139.52554303616,82.7905108607232,165.5810217214464,248.3715325821696,331.1620434428928,413.95255430361607,496.7430651643392,579.5335760250624,662.3240868857856,745.1145977465088,827.9051086072321,910.6956194679553,993.4861303286784,1076.2766411894017,1159.0671520501248,1241.8576629108481,1324.6481737715712,1407.4386846322943,1490.2291954930176,1573.019706353741,1655.8102172144643
Belarus,0.0,9490583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belize,20.532004548,322464.0,66208.32314566271,1324.1664629132542,2648.3329258265085,3972.4993887397627,5296.665851653017,6620.832314566272,7944.998777479525,9269.165240392778,10593.331703306034,11917.498166219288,13241.664629132543,14565.831092045799,15889.99755495905,17214.164017872306,18538.330480785557,19862.496943698814,21186.663406612068,22510.829869525318,23834.996332438575,25159.16279535183,26483.329258265087
Bermuda,11.864267092,65124.0,7726.48530099408,154.5297060198816,309.0594120397632,463.58911805964476,618.1188240795263,772.648530099408,927.1782361192895,1081.707942139171,1236.2376481590527,1390.7673541789343,1545.297060198816,1699.8267662186977,1854.356472238579,2008.8861782584609,2163.415884278342,2317.945590298224,2472.4752963181054,2627.0050023379868,2781.5347083578686,2936.0644143777504,3090.594120397632
Brazil,2.558210374,195713635.0,5006766.513902495,100135.33027804989,200270.66055609979,300405.99083414965,400541.32111219957,500676.6513902495,600811.9816682993,700947.3119463492,801082.6422243991,901217.9725024491,1001353.302780499,1101488.633058549,1201623.9633365986,1301759.2936146487,1401894.6238926984,1502029.9541707484,1602165.2844487983,1702300.614726848,1802435.9450048981,1902571.275282948,2002706.605560998
Barbados,0.705708771,282131.0,1991.02321271001,39.8204642542002,79.6409285084004,119.4613927626006,159.2818570168008,199.10232127100102,238.9227855252012,278.74324977940137,318.5637140336016,358.3841782878018,398.20464254200203,438.0251067962023,477.8455710504024,517.6660353046026,557.4864995588027,597.306963813003,637.1274280672033,676.9478923214034,716.7683565756035,756.5888208298038,796.4092850840041
